txn_id,account_id,txn_date,posted_date,description_raw,amount_original,currency,direction,normalized_type,counterparty,is_internal_transfer,expense_bucket,expense_type,needs_review,source_file,notes
mp_156404967074,mercadopago_ars,2026-04-25,2026-04-25,SETTLEMENT,-10500.0,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_155242269955,mercadopago_ars,2026-04-22,2026-04-25,SETTLEMENT,-700.0,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_155996460516,mercadopago_ars,2026-04-22,2026-04-25,SETTLEMENT,-36980.0,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_155722864338,mercadopago_ars,2026-04-20,2026-04-25,SETTLEMENT,-11600.0,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_155724100834,mercadopago_ars,2026-04-20,2026-04-24,SETTLEMENT,-650.0,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_156326135464,mercadopago_ars,2026-04-24,2026-04-24,Mercado Pago - QR (SETTLEMENT),-16999.0,ARS,outflow,expense,Mercado Pago,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_155566768939,mercadopago_ars,2026-04-24,2026-04-24,SETTLEMENT,20000.0,ARS,inflow,internal_transfer,-,True,-,-,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_154754072777,mercadopago_ars,2026-04-19,2026-04-24,SETTLEMENT,-11780.0,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_155471266580,mercadopago_ars,2026-04-19,2026-04-24,SETTLEMENT,-12431.0,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_155512632340,mercadopago_ars,2026-04-19,2026-04-24,SETTLEMENT,-550.0,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_1742839764765,mercadopago_ars,2026-04-24,2026-04-24,SETTLEMENT,14.41,ARS,inflow,income,-,False,-,-,False,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_155405578675,mercadopago_ars,2026-04-23,2026-04-23,SETTLEMENT,40000.0,ARS,inflow,internal_transfer,-,True,-,-,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_154694203123,mercadopago_ars,2026-04-18,2026-04-23,SETTLEMENT,-9358.0,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_154716679697,mercadopago_ars,2026-04-19,2026-04-23,SETTLEMENT,-1710.0,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_1742762085053,mercadopago_ars,2026-04-23,2026-04-23,SETTLEMENT,16.37,ARS,inflow,income,-,False,-,-,False,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_155238913843,mercadopago_ars,2026-04-22,2026-04-22,SETTLEMENT,25000.0,ARS,inflow,internal_transfer,-,True,-,-,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_155940558052,mercadopago_ars,2026-04-22,2026-04-22,SETTLEMENT,40000.0,ARS,inflow,internal_transfer,-,True,-,-,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_1742711911886,mercadopago_ars,2026-04-22,2026-04-22,SETTLEMENT,14.92,ARS,inflow,income,-,False,-,-,False,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_155109812549,mercadopago_ars,2026-04-21,2026-04-21,Mercado Libre (SETTLEMENT),-23035.0,ARS,outflow,expense,Mercado Libre,False,shopping,discretionary,False,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_1742646734685,mercadopago_ars,2026-04-21,2026-04-21,SETTLEMENT,5.84,ARS,inflow,income,-,False,-,-,False,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_155722824826,mercadopago_ars,2026-04-20,2026-04-20,SETTLEMENT,30000.0,ARS,inflow,internal_transfer,-,True,-,-,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_154269818417,mercadopago_ars,2026-04-16,2026-04-20,SETTLEMENT,-14649.0,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_154385049077,mercadopago_ars,2026-04-16,2026-04-20,SETTLEMENT,-30580.0,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_1742574286114,mercadopago_ars,2026-04-20,2026-04-20,SETTLEMENT,63.97,ARS,inflow,income,-,False,-,-,False,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_154393512341,mercadopago_ars,2026-04-16,2026-04-19,SETTLEMENT,-700.0,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_155471209568,mercadopago_ars,2026-04-19,2026-04-19,SETTLEMENT,30000.0,ARS,inflow,internal_transfer,-,True,-,-,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_154715897871,mercadopago_ars,2026-04-19,2026-04-19,Mercado Pago - QR (SETTLEMENT),-15000.0,ARS,outflow,expense,Mercado Pago,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_154451460517,mercadopago_ars,2026-04-17,2026-04-18,SETTLEMENT,-4411.01,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_154473092345,mercadopago_ars,2026-04-17,2026-04-17,SETTLEMENT,8250.0,ARS,inflow,income,-,False,-,-,False,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_1742507668795,mercadopago_ars,2026-04-17,2026-04-17,SETTLEMENT,32.03,ARS,inflow,income,-,False,-,-,False,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_154384838885,mercadopago_ars,2026-04-16,2026-04-16,SETTLEMENT,8250.0,ARS,inflow,income,-,False,-,-,False,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_154641574360,mercadopago_ars,2026-04-13,2026-04-16,SETTLEMENT,-8639.0,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
mp_153916152423,mercadopago_ars,2026-04-13,2026-04-16,SETTLEMENT,-700.0,ARS,outflow,expense,-,False,other,discretionary,True,2026-04_mercadopago_movements_ars.csv,Ingested via parse_mercadopago_csv.py
