SOURCE_ID;PAYMENT_METHOD_TYPE;TRANSACTION_TYPE;TRANSACTION_AMOUNT;TRANSACTION_DATE;FEE_AMOUNT;SETTLEMENT_DATE;REAL_AMOUNT;TAXES_AMOUNT;BUSINESS_UNIT;SUB_UNIT;MONEY_RELEASE_DATE
153871583779;available_money;SETTLEMENT;-9282.00;2026-04-13T17:40:09.000-03:00;0.00;2026-04-15T20:08:38.000-03:00;-9282.00;0.00;;;2026-04-15T20:08:38.000-03:00
154145702153;available_money;SETTLEMENT;-8000.00;2026-04-15T13:07:56.000-03:00;0.00;2026-04-15T13:07:56.000-03:00;-8000.00;0.00;;;2026-04-15T13:07:56.000-03:00
1742376342518;;SETTLEMENT;43.97;2026-04-15T02:06:53.000-03:00;0.00;2026-04-15T02:06:53.000-03:00;43.97;0.00;;;
153645041283;available_money;SETTLEMENT;-30080.00;2026-04-11T22:43:48.000-03:00;0.00;2026-04-14T10:46:29.000-03:00;-30080.00;0.00;;;2026-04-14T10:46:29.000-03:00
153657167693;available_money;SETTLEMENT;-700.00;2026-04-12T01:23:59.000-03:00;0.00;2026-04-14T10:42:10.000-03:00;-700.00;0.00;;;2026-04-14T10:42:10.000-03:00
154156348650;available_money;SETTLEMENT;-650.00;2026-04-10T13:25:46.000-03:00;0.00;2026-04-14T08:47:56.000-03:00;-650.00;0.00;;;2026-04-14T08:47:56.000-03:00
154086787118;available_money;SETTLEMENT;-6139.00;2026-04-10T02:37:18.000-03:00;0.00;2026-04-14T02:42:26.000-03:00;-6139.00;0.00;;;2026-04-14T02:42:26.000-03:00
1742306284315;;SETTLEMENT;8.07;2026-04-14T01:17:11.000-03:00;0.00;2026-04-14T01:17:11.000-03:00;8.07;0.00;;;
153405197635;available_money;SETTLEMENT;-9739.00;2026-04-10T12:56:22.000-03:00;0.00;2026-04-14T00:00:17.000-03:00;-9739.00;0.00;;;2026-04-14T00:00:17.000-03:00
154641252214;bank_transfer;SETTLEMENT;100000.00;2026-04-13T19:41:16.000-03:00;0.00;2026-04-13T19:41:16.000-03:00;100000.00;0.00;;;2026-04-13T19:41:16.000-03:00
153891716509;available_money;SETTLEMENT;-9250.00;2026-04-13T19:40:57.000-03:00;0.00;2026-04-13T19:40:58.000-03:00;-9250.00;0.00;;;2026-04-13T19:40:58.000-03:00
1742233002130;;SETTLEMENT;72.54;2026-04-13T01:20:32.000-03:00;0.00;2026-04-13T01:20:32.000-03:00;72.54;0.00;;;
154328372644;available_money;SETTLEMENT;-7500.00;2026-04-11T15:17:53.000-03:00;0.00;2026-04-11T15:17:53.000-03:00;-7500.00;0.00;;;2026-04-11T15:17:53.000-03:00
154328072534;available_money;SETTLEMENT;8000.00;2026-04-11T15:15:49.000-03:00;0.00;2026-04-11T15:15:49.000-03:00;8000.00;0.00;;;2026-04-11T15:15:49.000-03:00
153484985233;;PAYOUTS;-15715.00;2026-04-10T21:04:42.000-03:00;0.00;2026-04-10T21:04:42.000-03:00;-15715.00;0.00;;;
154229248832;available_money;SETTLEMENT;-36000.00;2026-04-10T20:43:59.000-03:00;0.00;2026-04-10T20:44:00.000-03:00;-36000.00;0.00;Mercado Pago;Checkouts;2026-04-18T19:48:57.000-03:00
153482645147;bank_transfer;SETTLEMENT;80000.00;2026-04-10T20:43:03.000-03:00;0.00;2026-04-10T20:43:03.000-03:00;80000.00;0.00;;;2026-04-10T20:43:03.000-03:00
153470695095;available_money;SETTLEMENT;-18399.00;2026-04-10T19:35:51.000-03:00;0.00;2026-04-10T19:35:57.000-03:00;-18399.00;0.00;Mercado Pago;Checkouts;2026-04-10T19:35:51.000-03:00
1742165152176;;SETTLEMENT;33.47;2026-04-10T01:47:37.000-03:00;0.00;2026-04-10T01:47:37.000-03:00;33.47;0.00;;;
152932805005;available_money;SETTLEMENT;-550.00;2026-04-07T14:46:54.000-03:00;0.00;2026-04-09T22:01:17.000-03:00;-550.00;0.00;;;2026-04-09T22:01:17.000-03:00
153051966585;available_money;SETTLEMENT;-5990.00;2026-04-08T10:10:16.000-03:00;0.00;2026-04-09T19:38:37.000-03:00;-5990.00;0.00;;;2026-04-09T19:38:37.000-03:00
153423690980;available_money;SETTLEMENT;-11329.00;2026-04-05T22:11:30.000-03:00;0.00;2026-04-09T02:03:09.000-03:00;-11329.00;0.00;;;2026-04-09T02:03:09.000-03:00
1742096830029;;SETTLEMENT;18.62;2026-04-09T00:50:19.000-03:00;0.00;2026-04-09T00:50:19.000-03:00;18.62;0.00;;;
152690640145;available_money;SETTLEMENT;-650.00;2026-04-06T00:13:01.000-03:00;0.00;2026-04-08T18:48:29.000-03:00;-650.00;0.00;;;2026-04-08T18:48:29.000-03:00
153671482392;available_money;SETTLEMENT;-8165.00;2026-04-07T14:14:39.000-03:00;0.00;2026-04-08T18:40:35.000-03:00;-8165.00;0.00;;;2026-04-08T18:40:35.000-03:00
153868596900;;PAYOUTS;-78000.00;2026-04-08T18:13:37.000-03:00;0.00;2026-04-08T18:13:37.000-03:00;-78000.00;0.00;;;
153124898049;bank_transfer;SETTLEMENT;100000.00;2026-04-08T18:12:23.000-03:00;0.00;2026-04-08T18:12:23.000-03:00;100000.00;0.00;;;2026-04-08T18:12:23.000-03:00
153124463285;available_money;SETTLEMENT;-94703.46;2026-04-08T18:10:12.000-03:00;0.00;2026-04-08T18:10:13.000-03:00;-94703.46;0.00;Mercado Pago;Checkouts;2026-04-13T17:19:45.000-03:00
153868608452;bank_transfer;SETTLEMENT;100000.00;2026-04-08T18:09:49.000-03:00;0.00;2026-04-08T18:09:50.000-03:00;100000.00;0.00;;;2026-04-08T18:09:50.000-03:00
153833902036;;PAYOUTS;-10700.00;2026-04-08T14:22:33.000-03:00;0.00;2026-04-08T14:22:33.000-03:00;-10700.00;0.00;;;
153806823560;available_money;SETTLEMENT;14000.00;2026-04-08T11:25:56.000-03:00;0.00;2026-04-08T11:25:57.000-03:00;14000.00;0.00;;;2026-04-08T11:25:57.000-03:00
153134802744;available_money;SETTLEMENT;-29077.00;2026-04-03T14:00:35.000-03:00;0.00;2026-04-08T06:30:41.000-03:00;-29077.00;0.00;;;2026-04-08T06:30:41.000-03:00
152335283727;available_money;SETTLEMENT;-15019.00;2026-04-02T22:22:40.000-03:00;0.00;2026-04-08T06:29:28.000-03:00;-15019.00;0.00;;;2026-04-08T06:29:28.000-03:00
153006384392;available_money;SETTLEMENT;-550.00;2026-04-02T14:19:05.000-03:00;0.00;2026-04-08T04:40:36.000-03:00;-550.00;0.00;;;2026-04-08T04:40:36.000-03:00
152398220317;available_money;SETTLEMENT;-700.00;2026-04-03T14:32:48.000-03:00;0.00;2026-04-08T02:13:44.000-03:00;-700.00;0.00;;;2026-04-08T02:13:44.000-03:00
152346326105;available_money;SETTLEMENT;-700.00;2026-04-03T00:29:37.000-03:00;0.00;2026-04-08T01:45:59.000-03:00;-700.00;0.00;;;2026-04-08T01:45:59.000-03:00
1742032925651;;SETTLEMENT;41.64;2026-04-08T01:41:52.000-03:00;0.00;2026-04-08T01:41:52.000-03:00;41.64;0.00;;;
153750236268;;PAYOUTS;-11000.00;2026-04-07T23:33:07.000-03:00;0.00;2026-04-07T23:33:07.000-03:00;-11000.00;0.00;;;
153007032399;available_money;SETTLEMENT;-27200.00;2026-04-07T23:32:38.000-03:00;0.00;2026-04-07T23:32:38.000-03:00;-27200.00;0.00;;;2026-04-07T23:32:38.000-03:00
152257968059;available_money;SETTLEMENT;-10630.00;2026-04-02T13:17:11.000-03:00;0.00;2026-04-07T23:23:33.000-03:00;-10630.00;0.00;;;2026-04-07T23:23:33.000-03:00
152928452429;bank_transfer;SETTLEMENT;80000.00;2026-04-07T14:14:28.000-03:00;0.00;2026-04-07T14:14:28.000-03:00;80000.00;0.00;;;2026-04-07T14:14:28.000-03:00
153205102222;available_money;SETTLEMENT;-9751.00;2026-04-04T03:20:22.000-03:00;0.00;2026-04-07T01:24:34.000-03:00;-9751.00;0.00;;;2026-04-07T01:24:34.000-03:00
